WOODY PLANTS : New Castle County DE				
Family as listed by Bonap	genera	common name	herbaceous or woody	Native Delaware Leps
Fagaceae	Quercus	oak	w	463
Rosaceae 	Prunus	"beach plum, cherry, chokecherry, peach, plum, sweet cherry, wild plum, almond"	w	347
Salicaceae	Salix	willow	w	292
Betulaceae	Betula	birch	w	285
Aceraceae	Acer	"maple, boxelder"	w	256
Salicaceae	Populus	"aspen, cottonwood, poplar"	w	240
Rosaceae 	Malus	"crabapple, apple"	w	233
Ericaceae 	Vaccinium	"cranberry, blueberry"	w	230
Juglandaceae	Carya	"hickory, pecan, pignut, bitternut"	w	224
Ulmaceae	Ulmus	elm	w	174
Betulaceae	Alnus	alder	w	164
Pinaceae	Pinus	pine	w	146
Malvaceae	Tilia	"basswood, linden"	w	139
Rosaceae 	Rubus	"blackberry, dewberry, Himalayan berry, raspberry, thimbleberry, loganberry"	w	135
Fagaceae	Fagus	beech	w	125
Oleaceae	Fraxinus	ash	w	124
Juglandaceae	Juglans	"butternut, walnut"	w	124
Rosaceae 	Crataegus	hawthorn	w	123
Fagaceae	Castanea	chestnut	w	109
Rosaceae 	Rosa	"rose, sweetbriar"	w	106
Cornaceae	Cornus	"dogwood, bunchberry"	w	103
Betulaceae	Corylus	"filbert, hazel, hazelnut"	w	102
Adoxaceae	Viburnum	"arrowwood, viburnum, (Viburnum opulus=swamp elder), wild raisin"	w	99
Rosaceae 	Amelanchier	"serviceberry, juneberry, shadbush"	w	91
Betulaceae	Ostrya	"tupelo, ironwood"	w	81
Pinaceae	Tsuga	hemock	w	69
Betulaceae	Carpinus	American hornbeam	w	68
Hamamelidaceae	Hamamelis	witchhazel	w	68
Grossulariaceae 	Ribes	"currant, gooseberry"	w	67
Vitaceae	Vitis	grape	w	64
Rosaceae 	Spiraea	"meadowsweet, spirea"	w	61
Anacardiaceae 	Rhus	sumac	w	54
Ericaceae 	Rhododendron	"rhododendron, azalea, labrador tea"	w	52
Myricaceae	Comptonia	sweet fern	w	47
Ebenaceae	Diospyros	persimmon	w	47
Aquifoliaceae	Ilex	"holly, inkberry, winterberry"	w	44
Platanaceae	Platanus	sycamore	w	42
Ulmaceae	Celtis	"hackberry, sugar berry"	w	41
Ericaceae 	Gaylussacia	"huckleberry, dangleberry"	w	39
Rhamnaceae	Ceanothus	New Jersey tea	w	38
Fabaceae	Gleditsia	"honeylocust, gleditsia"	w	38
Myricaceae	Morella	"red bayberry, wax myrtle, northern bayberry"	w	36
Lauraceae	Sassafras	sassafras	w	35
Rosaceae 	Aronia	black chokeberry	w	34
Hamamelidaceae	Liquidambar	sweetgum	w	34
Nyssaceae	Nyssa	"blackgum, sourgum, tupelo"	w	34
Adoxaceae	Sambucus	elderberry	w	32
Caprifoliaceae 	Lonicera	honeysuckle	w	30
Rosaceae 	Physocarpus	ninebark	w	29
Vitaceae	Parthenocissus	"virginia creeper, woodbine, Boston Ivy"	w	28
Cupressaceae	Juniperus	"juniper, red cedar"	w	26
Rubiaceae	Cephalanthus	buttonbush	w	25
Ericaceae 	Kalmia	"mountainlaurel, sheep laurel, bog laurel, whitewicky"	w	25
Fabaceae	Cercis	"redbud, judas-tree"	w	22
Magnoliaceae 	Liriodendron	"tulip poplar, tuliptree"	w	19
Magnoliaceae 	Magnolia	"magnolia, sweetbay"	w	19
Smilacaceae	Smilax	greenbriar	w	19
Caprifoliaceae 	Symphoricarpos	"snowberry, buckbush"	w	19
Anacardiaceae 	Toxicodendron	"poison oak, poison sumac, posion ivy"	w	17
Cupressaceae	Chamaecyparis	"Atlantic white cedar, white cedar"	w	14
Celastraceae	Euonymus	"wahoo, burningbush, euonymus, spindletree, burstingheart, wintercreeper, strawberrybush"	w	13
Ericaceae 	Oxydendrum	sourwood	w	13
Annonaceae	Asimina	pawpaw	w	12
Lauraceae	Lindera	spicebush	w	12
Cupressaceae   	Taxodium	"cypress, bald cypress, pond cypress"	w	12
Oleaceae	Chionanthus	fringetree	w	11
Ericaceae	Chamaedaphne	leatherleaf	w	10
Clethraceae	Clethra	"summersweet, sweetpepperbush"	w	10
Ericaceae 	Lyonia	"maleberry, staggerbush"	w	10
Hydrangeaceae	Hydrangea	hydrangea	w	9
Bignoniaceae	Campsis	"trumpetcreeper, trumpet vine"	w	6
Celastraceae	Celastrus	bittersweet	w	6
Moraceae	Morus	mulberry	w	6
Lythraceae 	Decodon	swamp loosestrife	w	5
Taxaceae	Taxus	yew	w	5
Rutaceae 	Zanthoxylum	"pricklyash, Chinese pepper"	w	5
Diervillaceae	Diervilla	bush honeysuckle	w	4
Polygonaceae	Fallopia	"Black-Bindweed, Fleecevine, Japanese knotweed"	w	4
Cistaceae	Crocanthemum	"Frostweed, Rush-Rose"	w	3
Ericaceae	Eubotrys	Deciduous-Doghobble	w	3
Fabaceae	Gymnocladus	Kentucy coffee tree	w	3
Santalaceae	Phoradendron	mistletoe	w	2
Staphyleaceae	Staphylea	bladdernut	w	2
Thymelaeaceae	Dirca	leatherwood	w	1
Ericaceae	Gaultheria	snowberry	w	1
Menispermaceae	Menispermum	moonseed	w	1